ID,name
55929c45-9f7c-49cd-9f05-35848d9f98d1,Zyphor-7
12efce5a-4904-4e26-b866-acfb9ac3577d,Xentos Prime
e093048b-c1f8-49eb-ba79-fe6599e00154,Aurion V
e568b88f-dbdf-47b8-bb0f-b346419b6ee1,Drakara Nexus
3ecbf208-aa4f-46e0-a1e4-6aa16b3e3f7c,Veltrion-9
a08d5219-a632-4f78-9de9-1769ae45b269,Oblivion Delta
ce8252f0-6942-41fc-97de-30475b03819a,Nebularis Eon
7ec0e3b7-1e98-4fab-a675-d143eed3e162,Quintara-3
e44b8b8d-3a2b-4223-9ae7-9e68e41eff0d,Eclipsara IV
aaee7495-442e-41e7-b75f-1f3c1ab3490e,Vortexis Prime
