ID,spacefarer_ID,stardust_ID,quantity
822dc798-8c75-44d9-acdc-126ef0d6d24c,61be4551-5f87-43bf-b662-beb9c2c417d2,b1c91a3b-2a69-4c7f-99df-3e52926f284b,10
62696e92-f7f1-4ccb-a5f3-5284d67dcf5d,61be4551-5f87-43bf-b662-beb9c2c417d2,2f23870f-724f-4498-8d5b-6f22453e7bb9,61
706553ab-d8c8-45d9-8409-37404e07d735,61be4551-5f87-43bf-b662-beb9c2c417d2,ad5eeb36-31d6-4c81-b116-3a83d7c30fae,5
5bf74d97-a863-4ba8-9787-b270fa4cc88a,f31d6768-84dc-451d-83de-3b4c153c8bcc,257ca9c4-0ad8-4670-a1b3-7f179ba615f3,111
ade44ffa-a7c1-4b9b-be0c-02ed0247be9d,1276ae1c-ff71-4911-ad65-4cee3bf82317,6bfcc1f9-7e7c-49e1-8fd0-861f422dfe7b,451
f8180969-06d1-4084-b4de-7aab502587e8,1276ae1c-ff71-4911-ad65-4cee3bf82317,316091cf-b612-4046-85a6-4db18813c9e3,12
2804536e-3090-4235-ad94-a3608f290dce,9078b37e-435f-4bbd-8ab1-30e6269be719,22251db3-0bf4-46b7-8557-c1a4dd7999b0,24
21d38527-8ff1-4cec-a006-4b18638944b3,b83e26e4-5aaa-4b04-a551-377c0cf392b6,ad5eeb36-31d6-4c81-b116-3a83d7c30fae,7
83523fae-cf6b-4419-b365-e5c8bcdd3125,b83e26e4-5aaa-4b04-a551-377c0cf392b6,257ca9c4-0ad8-4670-a1b3-7f179ba615f3,30
36d49d2a-478b-4cf7-9c26-6518f4f71e7a,08311c8c-bee2-4eb3-8aff-a25531a5c9ac,22251db3-0bf4-46b7-8557-c1a4dd7999b0,100
caca7f7f-8b72-441d-948d-648cb1d9a198,08311c8c-bee2-4eb3-8aff-a25531a5c9ac,b1c91a3b-2a69-4c7f-99df-3e52926f284b,15
c17ad812-4606-4b50-9cd6-763f1a5fcfcc,08311c8c-bee2-4eb3-8aff-a25531a5c9ac,316091cf-b612-4046-85a6-4db18813c9e3,8
36267bbd-8477-4313-8538-31529afc89d0,1cbd2c80-d14d-427e-8e11-b73cf385ac4d,b1c91a3b-2a69-4c7f-99df-3e52926f284b,20
0d7f5917-5a25-4eed-b429-197b4652ae73,1cbd2c80-d14d-427e-8e11-b73cf385ac4d,ad57a51e-b201-415f-ae07-177a91bad059,6
807a38a3-cece-4a1c-ae05-59127b85f4bf,01370bd8-ecf6-4301-9c23-b111a1b1c432,316091cf-b612-4046-85a6-4db18813c9e3,5
8874e95a-40da-408b-b1fe-abae57e5f51b,01370bd8-ecf6-4301-9c23-b111a1b1c432,2f23870f-724f-4498-8d5b-6f22453e7bb9,3
d4436aa6-3fc4-4ed9-9065-8d5c68b2c7c9,b076054b-e42c-4810-a3be-92ed3677906b,2f23870f-724f-4498-8d5b-6f22453e7bb9,9
e0c7b24a-b1e4-47a9-a892-1d97bd4c7926,b076054b-e42c-4810-a3be-92ed3677906b,22251db3-0bf4-46b7-8557-c1a4dd7999b0,11
756c8211-ba20-4b85-9a17-a4ec19d3f4cd,89c1f80b-2f4b-43d9-9ab9-d4dd675f49ba,ad57a51e-b201-415f-ae07-177a91bad059,50
b14f15e5-daf1-4df4-ad14-e5cd11266793,89c1f80b-2f4b-43d9-9ab9-d4dd675f49ba,22251db3-0bf4-46b7-8557-c1a4dd7999b0,40
57e0ce1a-1ecf-4414-a9bf-b3c9521c7d5b,89c1f80b-2f4b-43d9-9ab9-d4dd675f49ba,6bfcc1f9-7e7c-49e1-8fd0-861f422dfe7b,75
f3ea1286-43da-45bf-814e-22c447f12cb2,86897e5b-3788-4509-9bc7-c9d2ae64c714,ad5eeb36-31d6-4c81-b116-3a83d7c30fae,22
9b942aec-2b15-4c4a-a61a-bdd570a872ba,86897e5b-3788-4509-9bc7-c9d2ae64c714,22251db3-0bf4-46b7-8557-c1a4dd7999b0,88
09dc581a-4e91-45a8-ac28-6c860e088eab,a48c3c52-8824-43a2-a222-0b8572b6e411,ad57a51e-b201-415f-ae07-177a91bad059,33
